OBJECTID,Community Statistical Area (CSA),2010,2011,2012,2013,2014,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,45.0892857142857,54.39,62.37,60.4395604395604,50,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,56.6666666666667,77,66.67,75.2380952380952,61.2903225806451,47882527.7110596,37524.9505334171
3,Belair-Edison,57.2953736654804,65.57,57.54,60.7929515418502,48.4162895927601,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,56.25,68.1,62.83,60.2836879432624,46.979865771812,176077742.748718,150987.703638772
5,Canton,88.8888888888889,75,72.73,80,83.3333333333333,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,52.1551724137931,59.51,53.62,65,56.1085972850678,71541340.3063965,39962.5498347165
7,Cherry Hill,54.9019607843137,57.01,45.87,47.1544715447154,40.7079646017699,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,42.4242424242424,51.67,59.7,66.6666666666667,62.5,21022590.1307373,21705.411630344
9,Claremont/Armistead,56.1797752808989,60.76,67.57,66.2790697674419,60.8695652173913,61243774.4211426,40104.415980189
10,Clifton-Berea,42.7672955974843,53.91,43.94,47.3684210526316,45.5357142857142,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,72.2222222222222,76.47,89.47,78.3783783783784,84.8484848484848,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,48.936170212766,70.73,52,68.9655172413793,52.9411764705882,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,60.1694915254237,61.82,59.05,59.5959595959596,62.9213483146067,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,52.9411764705882,37.5,55.56,57.8947368421053,66.6666666666666,20736554.4064941,21565.859394559
15,Edmondson Village,57.4257425742574,52.33,50,53,48.2758620689655,23563061.0443115,21504.551357829
16,Fells Point,76.1904761904762,57.14,72.73,80.9523809523809,70.5882352941176,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,47.1074380165289,63.86,55.26,61.5384615384615,56.9892473118279,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,60.1941747572816,69.64,63.92,71.2871287128713,66.6666666666666,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,53.1645569620253,68,71.15,72.2222222222222,61.5384615384615,27051213.4559937,26454.2692113332
20,Greater Govans,64.3410852713178,61.54,59.8,65.0406504065041,50,22698495.7178955,22982.125714974
21,Greater Mondawmin,44.7619047619048,52.33,55.67,55.7894736842105,51.2195121951219,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,80,85.19,92.31,85.1851851851852,94.2857142857142,56688145.1790161,39862.7497953118
23,Greater Rosemont,49.7991967871486,56.02,53.15,58.2375478927203,50.6912442396313,42204384.5406494,32559.0762211491
24,Greenmount East,48.0916030534351,49.44,51.49,51.3761467889908,44.776119402985,19072287.8240967,20797.4734578598
25,Hamilton,65.8333333333333,69.3,63.31,73.8805970149254,65.3543307086614,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,34.2105263157895,63.04,54.35,64.5833333333333,55.1020408163265,10215859.0836182,18552.4075815937
27,Harford/Echodale,63.9455782312925,72,73.15,68.3098591549296,61.0687022900763,65360039.1698608,40019.1854001996
28,Highlandtown,73.1707317073171,60.71,70.59,68.1818181818182,63.4146341463414,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,55.4347826086957,57.97,60,71.25,62.0689655172413,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,76.6666666666667,61.54,53.13,60,57.1428571428571,24995836.2615967,43415.0595478862
31,Lauraville,53.781512605042,74.74,64.08,71.8446601941748,70.8333333333333,49665744.2354736,34419.676527973
32,Loch Raven,52.8735632183908,62.86,69.44,67.7165354330709,61.1570247933884,44147812.3265381,29314.3346718286
33,Madison/East End,42.4390243902439,45.05,53.17,47.6635514018692,49.0384615384615,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,69.5652173913043,74.73,73.79,80,75.6756756756756,62441489.2398071,43152.625699222
35,Midtown,41.8604651162791,60,82.35,75,60.6060606060606,23823949.9294434,25020.0969698082
36,Midway/Coldstream,47.244094488189,61.68,60.55,51.4084507042254,47.8260869565217,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,56.989247311828,72.31,62.16,78.2051282051282,72.0588235294117,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,60.7142857142857,76.92,90.91,93.3333333333333,84,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,53.8461538461538,91.67,87.5,94.5454545454545,90.4761904761904,74923987.6937256,42904.2221443544
40,Northwood,50.7575757575758,69.23,72.55,69.4915254237288,52.892561983471,52743271.7706299,38889.8945908861
41,Oldtown/Middle East,37.962962962963,46.15,52.73,57.0175438596491,47.5247524752475,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,41.4634146341463,67.07,52.56,66.6666666666667,57.6271186440677,89894372.2113037,47825.8629266244
43,Patterson Park North & East,49.7560975609756,62.5,56.52,64.7058823529412,50,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,49.4736842105263,49.5,47.66,58.8235294117647,44.5544554455445,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,54.2483660130719,60.31,59.02,62.406015037594,59.4202898550724,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,50,50,52.54,52.8301886792453,48.1481481481481,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,39.6039603960396,49.03,47.17,49.4047619047619,44.4444444444444,23672092.8682861,20987.1433066354
48,South Baltimore,75,83.33,80,82.3529411764706,85,46353935.4255981,68440.0258266401
49,Southeastern,73.2142857142857,75.56,69.77,54.5454545454545,57.4468085106382,111251478.472229,102291.480547698
50,Southern Park Heights,52.027027027027,62.31,49.64,73.2758620689655,53.9007092198581,27876227.5908203,24052.221372193
51,Southwest Baltimore,42.4603174603175,60,48.09,54.6728971962617,51.595744680851,37766068.8365479,28355.563581391
52,The Waverlies,51.25,64.13,76.25,60.9756097560976,42.2535211267605,20383750.5437012,18733.826879757
53,Upton/Druid Heights,38.6363636363636,43.44,37.14,39.3700787401575,42.1487603305785,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,52,66.67,68.75,55.1020408163265,50.8196721311475,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,53,65.22,62.07,65.5555555555556,44.2105263157894,45494092.9501953,42573.1244161851
